,id,playlist_name,track_name,release_date,artist_names,genres,first_genre,my_genre,top,left,index,score,outliers
598,05JBitld3kGDUrkeZ0hQmg,avril 14th,summer (shade),2018-05-28,['Two Sleepy'],['lo-fi beats'],lo-fi beats,lo-fi,13442,1023,10,0.0012015698076274228,0.0
599,5uWzSBJKqdSKJ3uMrYYUIT,avril 14th,Your Hand In Mine,2003-11-04,['Explosions In The Sky'],"['american post-rock', 'cinematic post-rock', 'instrumental post-rock', 'melancholia', 'post-rock']",american post-rock,ambient,11271,310,11,-0.007632420704638321,1.0
600,1CvApHDbs4aT7XU6sp7gV8,avril 14th,Your Soul,2011-10-26,['Ibrahim Maalouf'],"['arabic jazz', 'french jazz', 'jazz trumpet']",arabic jazz,jazz,15705,726,12,0.12008429369094475,0.0
601,032quG1KT3ITdtKYnL7izw,avril 14th,On Leaving,2016-03-18,['Danny Paul Grody'],"['ambient country', 'american primitive', 'bay area indie', 'drone folk', 'pastoral']",ambient country,ambient,17049,327,13,0.07295642982724199,0.0
602,5V8lsCRhYJCTO8eVGpdUcI,avril 14th,Night After Sidewalk,2006-01-01,['Kaki King'],['instrumental acoustic guitar'],instrumental acoustic guitar,indie,17721,777,14,0.12565838324017886,0.0
603,2uo8RCIshYb1aVSNZlrwZZ,avril 14th,two moons,2009-12-09,['toe'],"['instrumental math rock', 'instrumental post-rock', 'japanese emo', 'japanese math rock', 'japanese post-rock', 'math rock', 'midwest emo']",instrumental math rock,ambient,9884,515,15,-0.009168034094139577,1.0
604,3cIG78oBauowzEbkBwWADN,avril 14th,They Move on Tracks of Never-Ending Light,2007-01-08,['This Will Destroy You'],"['ambient post-rock', 'american post-rock', 'doomgaze', 'drone metal', 'instrumental post-rock', 'post-rock']",ambient post-rock,ambient,14757,133,16,0.08640489700536808,0.0
605,5bp6twky1rHu72giADl7Mv,avril 14th,Interlude 2,2012-09-18,['alt-J'],"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",indie rock,indie,9921,469,17,0.07504309294126804,0.0
606,0nqcWYY9aUeYx68a9dmpNG,avril 14th,Faraway Places,2021-01-01,['Arms and Sleepers'],['ambient idm'],ambient idm,lo-fi,8162,633,18,0.16191867989024583,0.0
607,2k2yZbvyDWJLZSyki2JERE,avril 14th,"Over There, It's Raining",2013-11-18,['Nils Frahm'],"['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,19,0.15586237140561032,0.0
608,5qRAUwgDqJ4fGWj8Td7e3O,avril 14th,Welcome Home,2018-09-25,['Sigríður'],['focus'],focus,ambient,18556,398,20,0.1514928947059021,0.0
609,2AIqsdVvKNSMCjyZ7U6dia,avril 14th,In The Middle Of The Bridge,2019-09-13,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,21,0.1709600045476875,0.0
610,4jR8SmpJ76qsD1TlaD6TIY,avril 14th,"Claudia, Wilhelm R And Me",2016-11-24,['Roberto Musci'],"['deep free jazz', 'fourth world', 'italian experimental']",deep free jazz,0,18732,659,22,0.03613874287611518,0.0
611,4p0HLtImbaIWWz2tZFm1cD,avril 14th,Life Story,2015-09-01,"['Ólafur Arnalds', 'Nils Frahm']","['compositional ambient', 'icelandic classical', 'neoclassical darkwave'], ['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,23,0.06701574016461992,0.0
612,54NquOiocazAzjHpqIGGS3,avril 14th,Halving The Compass,2009-01-16,['Helios'],"['compositional ambient', 'instrumental post-rock', 'space ambient']",compositional ambient,ambient,20317,366,24,0.10777351284064796,0.0
613,1WOxGNutRwrbik8BA5f2AY,avril 14th,Immunity,2013-06-03,['Jon Hopkins'],"['compositional ambient', 'electronica', 'intelligent dance music']",compositional ambient,ambient,20317,366,25,0.14816708666399825,0.0
614,7vve69kBA5iXEYJK33iPpk,avril 14th,Our Breath in Winter,2010-03-13,['Caspian'],"['american post-rock', 'boston rock', 'instrumental post-rock', 'post-rock']",american post-rock,ambient,11271,310,26,0.05349761918394025,0.0
615,4a8njLGIK0meARLqzvysDn,avril 14th,Flatiron,2015-08-28,['Suzanne Kraft'],['fourth world'],fourth world,0,16248,386,27,0.11073839273845182,0.0
616,2KKAsmZmWc6eCuAutwGewl,avril 14th,Sliding Down,2007-09-03,"['Edgar Meyer', 'Mike Marshall', 'Béla Fleck']","['contrabass', 'progressive bluegrass'], ['banjo', 'bluegrass', 'instrumental bluegrass', 'progressive bluegrass'], ['classical mandolin', 'mandolin', 'progressive bluegrass']",contrabass,ambient,21230,488,28,0.18800366901458432,0.0
617,4zbGUPGTQglrXIcQR9lZAt,avril 14th,Doria - Island Songs VII,2016-10-28,['Ólafur Arnalds'],"['compositional ambient', 'icelandic classical', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,29,0.13406429212677368,0.0
618,5VRn40H9zvOhxKVbF1og8d,avril 14th,Forces of Attraction,2014-12-16,['Jóhann Jóhannsson'],"['compositional ambient', 'experimental classical', 'icelandic classical', 'icelandic experimental', 'nordic soundtrack', 'soundtrack']",compositional ambient,ambient,20317,366,30,0.142562750147952,0.0
619,7tZku9Vp402YZ4wW2UYLU3,avril 14th,Bless Those Tired Eyes,2013-02-20,['Clem Leek'],"['compositional ambient', 'focus', 'nu age']",compositional ambient,ambient,20317,366,31,0.16467557246122294,0.0
620,5TH84F1wMxCnxR3t64pMe2,avril 14th,Shore,2012-10-02,['Balmorhea'],"['compositional ambient', 'melancholia', 'neoclassical darkwave', 'pastoral', 'post-rock']",compositional ambient,ambient,20317,366,32,0.15349792667399786,0.0
621,5srr5go84JW7rup0MaHClt,avril 14th,Four in Jordan,2016-05-11,['TSU!'],['turkish alternative'],turkish alternative,indie,9081,549,33,0.11169508215862461,0.0
622,7Gok92Y4WaYvWWndmAgT0Z,avril 14th,"In Moonlight, Op. 1",2019-10-25,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,34,0.01165330167930445,0.0
623,5H8pSg8SL831H5jnZ4N9o8,avril 14th,Serendipity,2016-03-14,['Kyle McEvoy'],['neo-classical'],neo-classical,ambient,20923,512,35,0.18373206359299826,0.0
624,0ApSUGeVIBNi2ttmzQ6rpl,avril 14th,21:05,2016-03-04,"['Ólafur Arnalds', 'Nils Frahm']","['compositional ambient', 'icelandic classical', 'neoclassical darkwave'], ['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,36,0.18132809146977186,0.0
625,03wfVk6LdKlS30q49l5tF2,avril 14th,Nove Alberi,2013-11-25,['Harold Budd'],"['ambient', 'american contemporary classical', 'compositional ambient', 'drone', 'fourth world', 'minimalism']",ambient,ambient,15167,234,37,0.09579507097092521,0.0
626,5QIm5UVUJhPrpXwfFXAgKI,avril 14th,Nos,2021-04-09,['Balmorhea'],"['compositional ambient', 'melancholia', 'neoclassical darkwave', 'pastoral', 'post-rock']",compositional ambient,ambient,20317,366,38,0.19844392354651086,0.0
627,0jgsq6l1yMZIlJX4AFXAgA,avril 14th,Green Arrow,1997-04-22,['Yo La Tengo'],"['alternative rock', 'art pop', 'dream pop', 'indie rock', 'indietronica', 'lo-fi', 'new jersey indie', 'noise pop', 'permanent wave', 'shoegaze']",alternative rock,alt-rock,9647,416,39,0.10709933399627297,0.0
628,0A0XdEkhCRzqGJ3vQVIXWt,avril 14th,The Content Is Irrelevant,2006-10-02,['Because Of Ghosts'],"['atmospheric post-rock', 'australian post-rock', 'instrumental post-rock']",atmospheric post-rock,alt-rock,11100,247,40,-0.004806279230509802,1.0
629,7JAS7ebzk6QH4XEamLH9wS,avril 14th,Veloma,2009-12-13,['Fabrizio Paterlini'],['compositional ambient'],compositional ambient,ambient,20317,366,41,0.17653418249448338,0.0
630,4mTAVgRZKHezUX514e09Xu,avril 14th,connection,2022-01-21,['The Field Tapes'],['ambient guitar'],ambient guitar,ambient,16014,172,42,0.19230105933166458,0.0
631,2eWtgHcw0q0829ZuuHgZqE,avril 14th,Still,2020-01-24,['Ola Gjeilo'],"['21st century classical', 'nordic contemporary classical']",21st century classical,ambient,21303,272,43,0.12527606711751238,0.0
632,4XPq8MBYuWi4Z5PzmebwYo,avril 14th,Open,2018-11-02,['Luke Howard'],"['australian ambient', 'compositional ambient', 'neo-classical']",australian ambient,ambient,15488,360,44,0.19209512034205323,0.0
633,1L4NadMj3Jj7YgGaikyhfr,avril 14th,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",1992-01-01,"['Franz Liszt', 'Daniel Barenboim']","['classical', 'late romantic era'], ['classical', 'classical performance', 'israeli classical piano']",classical,ambient,21730,380,45,0.13750417637205797,0.0
634,6m3Rrv81DPaSPw4azvVUid,avril 14th,Walk,2013-01-01,['Ludovico Einaudi'],"['compositional ambient', 'neo-classical']",compositional ambient,ambient,20317,366,46,0.011688715174636544,0.0
635,5BRfucuiAf5IYRbwBYBYPZ,avril 14th,Ab Ovo,2017-04-07,['Joep Beving'],"['compositional ambient', 'neo-classical']",compositional ambient,ambient,20317,366,47,0.18636897940193897,0.0
636,7nbupE7oWrRG33GgnIbF7C,avril 14th,Late,2021-11-18,['Nils Frahm'],"['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,48,0.16091551699782486,0.0
637,5E2hirZomBGpj585MQbxY8,avril 14th,saman - Sunrise Session II,2022-04-15,['Ólafur Arnalds'],"['compositional ambient', 'icelandic classical', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,49,0.1703744877883107,0.0
638,6lliTQMDUNq83sWE250o3l,avril 14th,I Heard You From Afar,2019-09-13,['Benjamin Gustafsson'],['neo-classical'],neo-classical,ambient,20923,512,50,0.13369438896128194,0.0
639,25kGCuGWAYfyoz7RozlTpO,avril 14th,Motion,2019-03-01,['Peter Sandberg'],"['compositional ambient', 'focus']",compositional ambient,ambient,20317,366,51,0.12304567844360348,0.0
640,40TOZWK0xDG4MQws4RvDzs,avril 14th,nothing breaks even,2022-01-21,['The Field Tapes'],['ambient guitar'],ambient guitar,ambient,16014,172,52,0.17669654648260563,0.0
641,3Cf47MOQsa3ijid90gr5Io,avril 14th,Tomorrow's Song,2011-12-02,['Ólafur Arnalds'],"['compositional ambient', 'icelandic classical', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,53,0.19196375221644107,0.0
642,2ScTd9aWx5qUjwXHx2ddjX,avril 14th,"Untouched Rainforest, Pt.1",2022-04-15,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,54,0.17749113861712923,0.0
643,3eCueoiyNs7xUYqX05IEoy,avril 14th,Last Dance,2022-04-08,['Joep Beving'],"['compositional ambient', 'neo-classical']",compositional ambient,ambient,20317,366,55,0.14885546164169994,0.0
644,09F0zRNSUa0qAWYUksXtXt,avril 14th,A Shimmer,2020-03-28,['Nils Frahm'],"['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,56,0.1183215999031092,0.0
645,0XZ8ObL5mJEhZ1rFtYnr9t,avril 14th,I Wish This Moment Would Last Forever,2022-05-20,['Osaki'],['lo-fi study'],lo-fi study,lo-fi,11717,921,57,0.12441474148320453,0.0
646,1gWlkyc7p3l9tm6AwwKe0G,avril 14th,Hiding,2022-05-16,"['reysi', 'Tibeauthetraveler']","['lo-fi study'], ['lo-fi study']",lo-fi study,lo-fi,11717,921,58,0.1729977281247806,0.0
647,6BRr6a4zwmI7H3c7IBSsK5,avril 14th,Bo & Wing,2017-08-25,['Maya Jane Coles'],"['deep disco house', 'deep house', 'electra', 'future garage', 'house', 'microhouse', 'minimal tech house', 'minimal techno', 'uk house']",deep disco house,house,621,1340,59,0.018335538907651716,0.0
648,1YoMyaBl7YzcvRiCRJGMeG,avril 14th,Mercy,2021-10-29,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,60,0.14263774078765246,0.0
649,1W9VHDsTqWD884pSqqwHIB,avril 14th,Winter Morning I,2016-07-08,"['Woodkid', 'Nils Frahm']","['chamber pop'], ['compositional ambient', 'electronica', 'neoclassical darkwave']",chamber pop,indie,13108,473,61,0.17892924293179163,0.0
650,2Bc4llhjJBW77I552RgA3L,avril 14th,#3,1994-03-07,['Aphex Twin'],"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",ambient,ambient,15167,234,62,0.15020819238239397,0.0
651,0tYJyGdXLpdSCHRq9Kiaxa,avril 14th,Undercurrent / Watershed,2018-07-24,"['April', 'Mary Lattimore']","['art pop', 'electra', 'experimental ambient', 'jazz harp', 'pastoral', 'spectra'], []",art pop,indie,9611,599,63,0.11337773987334776,0.0
652,6Xajr512QEGAZ20bqAWkyT,avril 14th,Near Light,2011-12-05,['Ólafur Arnalds'],"['compositional ambient', 'icelandic classical', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,64,0.12139284021081975,0.0
653,29QwD3EMOXDEew5pl36oCh,avril 14th,Metamorphosis II,2019-09-27,"['Philip Glass', 'Olivia Belli']","['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism'], ['neo-classical']",american contemporary classical,ambient,21316,384,65,0.15748245975010827,0.0
654,4iORPRB30LonHaKwkctjyE,avril 14th,Boavista,2020-07-10,['Klik & Frik'],['latintronica'],latintronica,electronica,4413,1038,66,0.07758431968305435,0.0
655,6qMPI1ljgIemw9XFAd7RhV,avril 14th,Serena,2016-09-02,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,67,0.19651625230297343,0.0
656,4iuGVtUXm2RfdyaGofN5MC,avril 14th,On My Way Home,2022-08-26,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,68,0.18626743200297785,0.0
657,6qmP1sTsZx0P987mzBgFCT,avril 14th,Fragments of The Last Will - Main Theme,2022-12-30,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,69,0.13922308775760095,0.0
658,5Ac0ipN7YqSDXOi3aT37kO,avril 14th,Feathered Friend,2020-05-08,"['Kappa Mountain', 'Audio Dope', 'Matthias Gusset']","['swiss indie'], [], []",swiss indie,lo-fi,8224,703,70,0.12595633058581246,0.0
659,55gJzsjaRb0nSv8ZyuUBqC,avril 14th,Shroud of Night,2023-02-10,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,71,0.16982647891967945,0.0
660,4ewQGxxqa5TmB4aQYQuTAu,avril 14th,I meet you when I dream,2023-02-02,"['eugenio izzi', 'Sweet Medicine']","['lo-fi study'], ['lo-fi jazzhop', 'lo-fi study']",lo-fi study,lo-fi,11717,921,72,0.13948673484809504,0.0
661,33hq1sgjWRI2OqgjHiGGJY,avril 14th,slow breaths,2023-02-24,"['No Spirit', 'colours in the dark']","['lo-fi beats', 'lo-fi study'], ['lo-fi sleep']",lo-fi beats,lo-fi,13442,1023,73,0.15235083289625573,0.0
662,7LHT8ENXSbLwbKBZd0kIvD,avril 14th,Dreamland,2023-03-17,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,74,0.1066717065429264,0.0
663,0QjruwWxe5CipAcRGb9fln,avril 14th,Faraway,2023-05-05,['Akira Kosemura'],"['compositional ambient', 'j-ambient', 'japanese classical', 'japanese piano']",compositional ambient,ambient,20317,366,75,0.16527321457859373,0.0
664,56oReVXIfUO9xkX7pHmEU0,avril 14th,On the Nature of Daylight,2018-05-11,"['Max Richter', 'Louisa Fuller', 'Natalia Bonner', 'John Metcalfe', 'Philip Sheppard', 'Chris Worsey']","['modern cello'], ['modern cello'], [], [], [], []",modern cello,ambient,17797,272,76,-0.04552628791217972,1.0
1452,488E8BWYDCDrL6vunOAzPy,lebanese blonde,Lebanese Blonde,2000-01-01,['Thievery Corporation'],"['downtempo', 'electronica', 'livetronica', 'trip hop']",downtempo,electronica,4888,802,77,0.07183651808330888,0.0
1453,0z4o8TMSswtKc4I5hntpEE,lebanese blonde,Heaven - Remastered,1981-08-24,"['The Rolling Stones', 'Bob Clearmountain']","['album rock', 'british invasion', 'classic rock', 'rock'], []",album rock,rock,10880,490,78,0.0656372963092689,0.0
1454,3N2aNnFMZiU9dBd2Ta67lN,lebanese blonde,Eu Te Odeio,2016-08-24,['Carne Doce'],"['musica goiana', 'nova mpb', 'pop lgbtq+ brasileira', 'rock goiano']",musica goiana,funk,12959,779,79,0.009902052062764954,0.0
1455,20F3FcES8KU4kffMCkFgNN,lebanese blonde,Until The Morning,2002-01-01,['Thievery Corporation'],"['downtempo', 'electronica', 'livetronica', 'trip hop']",downtempo,electronica,4888,802,80,0.07791971260071079,0.0
1456,3lrVGaRqkoe7C2oSYaBcEV,lebanese blonde,Petit Sékou,1977-01-01,['Bembeya Jazz National'],"['afropop', 'guinean pop', 'mande pop', 'west african jazz']",afropop,funk,11117,967,81,0.08508706168329505,0.0
1457,3jlctI8Q5BaTIjIDQzO5Dd,lebanese blonde,Possarinhos,2014-08-29,['Pierre Cavalli'],['vintage french psychedelic'],vintage french psychedelic,alt-rock,14725,578,82,0.10302901244079171,0.0
1458,3ub7bmBv7vYvXtu5Z8mL5n,lebanese blonde,Avante Delírio,2018-09-14,['Saulo Duarte'],['musica popular paraense'],musica popular paraense,funk,8828,885,83,0.07682954103833556,0.0
1459,4K2ksQq5BbIjL7I2ZuQLj2,lebanese blonde,Dern Kala,2015-11-06,['Khruangbin'],"['indie soul', 'neo-psychedelic']",indie soul,funk,7210,949,84,0.14627396812690613,0.0
1460,4K2ksQq5BbIjL7I2ZuQLj2,lebanese blonde,Dern Kala,2015-11-06,['Khruangbin'],"['indie soul', 'neo-psychedelic']",indie soul,soul,7210,949,85,0.14627396812690613,0.0
1461,33lzcewanoOe64goFfsy2k,lebanese blonde,幽霊の気分で (Album Version),2011-11-18,['Shintaro Sakamoto'],"['j-rock', 'japanese alternative pop']",j-rock,indie,6062,404,86,0.02084630653284103,0.0
1462,7vfILe0geNdQ7ilJYF45SU,lebanese blonde,Abusey Junction,2019-03-08,['Kokoroko'],"['british jazz', 'indie soul']",british jazz,jazz,16540,736,87,0.08680972798113074,0.0
1463,533Ux2Y0ca4L0bzy6jq6qO,lebanese blonde,Final Good Bye (with Tommy Guerrero),2012-02-13,['Blundetto'],['electro jazz'],electro jazz,electronica,4670,971,88,0.11424277574824332,0.0
1464,7dEvUHcPU9jCXeYkKnHGKi,lebanese blonde,Morning,2007-01-01,['Azymuth'],"['brazilian boogie', 'jazz funk', 'psicodelia brasileira']",brazilian boogie,funk,10920,903,89,0.11796643471878909,0.0
1465,6mTfOxORhYlpnTvm7VrL6b,lebanese blonde,Chove Chuva,1963-01-01,['Jorge Ben Jor'],"['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia']",bossa nova,bossa nova,16844,828,90,0.06457289199576449,0.0
1466,2sQpHRF6hpyCYenzOjinr4,lebanese blonde,Stories??,1972-09-12,['The Chakachas'],['latin funk'],latin funk,funk,7459,984,91,-0.09531464985279559,1.0
1467,5yEu5YHXKzbBerMRWQyQoR,lebanese blonde,Lady Magnolia,2009-10-22,['Piero Umiliani'],['vintage italian soundtrack'],vintage italian soundtrack,alt-rock,17037,394,92,0.057850521927675036,0.0
1468,6EFxFbF6ZNCuE01gAd0xsN,lebanese blonde,Tell Her,1969-01-01,"['Fred Williams', 'The Jewel Band']","['deep funk'], []",deep funk,funk,9418,957,93,0.07927908377097254,0.0
1469,6EwkqdQjyWC2ZMbfDitEPF,lebanese blonde,One More,1972-01-01,['Cymande'],"['afrobeat', 'funk', 'jazz funk', 'psychedelic soul']",afrobeat,funk,13034,1038,94,0.06626852569721181,0.0
1470,7mnXi6xOv1ayDdAuxUEhuY,lebanese blonde,Temporal,2020-01-17,['Carne Doce'],"['musica goiana', 'nova mpb', 'pop lgbtq+ brasileira', 'rock goiano']",musica goiana,funk,12959,779,95,0.0918675716476518,0.0
1471,4SdloKbQ6OV3D7K4BGTHVZ,lebanese blonde,Décollage (feat. Lou Lou Ghelichkhani),2014-04-07,"['Thievery Corporation', 'Loulou Ghelichkhani']","['downtempo', 'electronica', 'livetronica', 'trip hop'], []",downtempo,electronica,4888,802,96,0.08667173551035501,0.0
1472,5VarZFY00sO54HErJ3TPCI,lebanese blonde,So Good At Being in Trouble,2013-02-05,['Unknown Mortal Orchestra'],"['art pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']",art pop,indie,9611,599,97,0.11824449779581847,0.0
1473,1uSO1bB5sJdu3x4eefKDpb,lebanese blonde,Let's Dance Raw,2014-01-01,['Shintaro Sakamoto'],"['j-rock', 'japanese alternative pop']",j-rock,indie,6062,404,98,0.07923298779257287,0.0
1474,5zquV7va41xkZZNXWBA4Tw,lebanese blonde,Summertime,1971-12-09,['Rosinha De Valença'],['bossa nova'],bossa nova,bossa nova,16844,828,99,0.08954708298093261,0.0
1475,4hVGW01fTaqMbYXJyA8YWn,lebanese blonde,The Traitor,2008-10-14,['Menahan Street Band'],"['brass band', 'instrumental funk']",brass band,funk,14638,758,100,0.13154529457099018,0.0
1476,2mIx5zFpu1mrFExepZ0xJG,lebanese blonde,Soul Heaven,2010-11-09,['Syl Johnson'],"['chicago soul', 'memphis soul', 'southern soul']",chicago soul,soul,15134,741,101,0.08515922309883633,0.0
1477,1146kaAdysccJxIi93LsUY,lebanese blonde,Cómo Me Quieres,2018-01-26,['Khruangbin'],"['indie soul', 'neo-psychedelic']",indie soul,funk,7210,949,102,0.1236232409639289,0.0
1478,1146kaAdysccJxIi93LsUY,lebanese blonde,Cómo Me Quieres,2018-01-26,['Khruangbin'],"['indie soul', 'neo-psychedelic']",indie soul,soul,7210,949,103,0.1236232409639289,0.0
1479,6ustIXX6sc1cqA3blhyNsy,lebanese blonde,Zé e Paraná,2020-09-18,['Azymuth'],"['brazilian boogie', 'jazz funk', 'psicodelia brasileira']",brazilian boogie,funk,10920,903,104,-0.043559624448383794,1.0
1480,46TKHBSVXIOYjfi3pp6X7F,lebanese blonde,El camino negro,2018-10-26,['Tommy Guerrero'],['afrobeat'],afrobeat,funk,13034,1038,105,0.12581499989320788,0.0
1481,49PyCCLOdJi0jHkGyyY2vv,lebanese blonde,Sonate Pacifique,2014-09-22,"[""L'Impératrice"", 'Isaac Delusion']","['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic'], ['french indie pop', 'french indietronica', 'french synthpop']",electro-pop francais,electronica,5588,877,106,0.04887929696858778,0.0
1482,503OjD3MWV3qFkKj769fte,lebanese blonde,Mistério Stereo,2008-06-25,['Curumin'],"['brazilian indie', 'manguebeat', 'nova mpb']",brazilian indie,funk,9431,856,107,0.08195752729078054,0.0
1483,0KixIFbJPLjVUgCiTgR649,lebanese blonde,Dripping Sun,2018-10-05,['Kikagaku Moyo'],"['instrumental stoner rock', 'japanese psychedelic', 'japanese psychedelic rock', 'neo-psychedelic']",instrumental stoner rock,rock,11490,312,108,0.11100571772336726,0.0
1484,1Rezzt36ybaT2ZbDZpv83D,lebanese blonde,Black Milk,1998-01-01,"['Massive Attack', 'Elizabeth Fraser']","['ethereal wave', 'scottish indie'], ['downtempo', 'electronica', 'trip hop']",ethereal wave,rock,10257,289,109,0.07495724868102122,0.0
1485,7vJ7IID5igUhGUTgilKVw6,lebanese blonde,el camino negro,2016-12-07,['Tommy Guerrero'],['afrobeat'],afrobeat,funk,13034,1038,110,0.13014892045282722,0.0
1486,0lO1JSKQt3CefZHhWr10Ai,lebanese blonde,"Sincerely Yours, The D.A.C.",2011-02-08,['Dirty Art Club'],['charlotte nc indie'],charlotte nc indie,alt-rock,9599,435,111,0.03230542483956622,0.0
1487,0IcSLT53eE07Jmok64Ppo3,lebanese blonde,Space Song,2015-08-28,['Beach House'],"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",art pop,indie,9611,599,112,0.04494332018220326,0.0
1488,31zedQcLFF93Zif5bXZT9s,lebanese blonde,White Sands Pt 1,2009-12-08,['The Fabulous Three'],['instrumental funk'],instrumental funk,funk,13212,965,113,0.10710324310457725,0.0
1489,1OYk5vsjPRPCu9BIvFqg7k,lebanese blonde,Midnight Morning,2021-02-26,['Menahan Street Band'],"['brass band', 'instrumental funk']",brass band,funk,14638,758,114,0.10108724847896794,0.0
